CombinedSchedulesId,FY,MainAccount,Line,LineName,Split,PY,CY,BY,OY-1,OY-2,OY-3,OY-4,OY-5,OY-6,OY-7,OY-8,OY-9,TreasurySymbol,AccountName,Subfunction,Classification,BudgetEnforcementCategory
1,FY-2025,A-0103,L-0001,TACKLE THE CLIMATE CRISIS,01,901000000.00,901000000.00,901000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,A-068-0103,STATE AND TRIBAL ASSISTANCE GRANTS,304,NS,NS
2,FY-2025,A-0103,L-0002,TAKE DECISIVE ACTION TO ADVANCE ENVIRONMENTAL JUSTICE,01,82000000.00,82000000.00,82000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,A-068-0103,STATE AND TRIBAL ASSISTANCE GRANTS,304,NS,NS
3,FY-2025,A-0103,L-0003,ENFORCE ENVIRONMENTAL LAWS,01,29000000.00,29000000.00,29000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,A-068-0103,STATE AND TRIBAL ASSISTANCE GRANTS,304,NS,NS
4,FY-2025,A-0103,L-0011,ENSURE CLEAN AND HEALTHY AIR,01,348000000.00,348000000.00,348000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,A-068-0103,STATE AND TRIBAL ASSISTANCE GRANTS,304,NS,NS
5,FY-2025,A-0103,L-0012,ENSURE CLEAN AND SAFE WATER,01,10508000000.00,12508000000.00,10508000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,A-068-0103,STATE AND TRIBAL ASSISTANCE GRANTS,304,NS,NS
6,FY-2025,A-0103,L-0013,SAFEGUARD AND REVITALIZE COMMUNITIES,01,600000000.00,600000000.00,600000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,A-068-0103,STATE AND TRIBAL ASSISTANCE GRANTS,304,NS,NS
7,FY-2025,A-0103,L-0014,ENSURE SAFETY OF CHEMICALS FOR PEOPLE AND THE ENVIRONMENT,01,50000000.00,50000000.00,50000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,A-068-0103,STATE AND TRIBAL ASSISTANCE GRANTS,304,NS,NS
8,FY-2025,A-0103,L-0015,CROSS AGENCY MISSION AND SCIENCE SUPPORT,01,1668000000.00,1668000000.00,1668000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,A-068-0103,STATE AND TRIBAL ASSISTANCE GRANTS,304,NS,NS
9,FY-2025,A-0103,L-0900,"TOTAL NEW OBLIGATIONS, UNEXPIRED ACCOUNTS",01,14186000000.00,16186000000.00,14186000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,A-068-0103,STATE AND TRIBAL ASSISTANCE GRANTS,304,NS,NS
10,FY-2025,A-0103,L-1000,"UNOBLIGATED BALANCE BROUGHT FORWARD, OCT 1",01,45955000000.00,48737000000.00,48278000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,A-068-0103,STATE AND TRIBAL ASSISTANCE GRANTS,304,NS,NS
11,FY-2025,A-0103,L-1001,"DISCRETIONARY UNOBLIGATED BALANCE BROUGHT FWD, OCT 1",01,45935000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,A-068-0103,STATE AND TRIBAL ASSISTANCE GRANTS,304,NS,DISCRETIONARY
12,FY-2025,A-0103,L-1010,UNOBLIGATED BALANCE TRANSFER TO OTHER ACCTS,01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,A-068-0103,STATE AND TRIBAL ASSISTANCE GRANTS,304,NS,NS
13,FY-2025,A-0103,L-1020,"ADJUSTMENT OF UNOBLIGATED BAL BROUGHT FORWARD, OCT 1",01,-13000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,A-068-0103,STATE AND TRIBAL ASSISTANCE GRANTS,304,NS,NS
14,FY-2025,A-0103,L-1021,RECOVERIES OF PRIOR YEAR UNPAID OBLIGATIONS,01,63000000.00,63000000.00,63000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,A-068-0103,STATE AND TRIBAL ASSISTANCE GRANTS,304,NS,NS
